,Date,Departure Time,Revenue ($),Passengers (First Class),Passengers (Business Class),Passengers (Economy Class),Origin,Destination,Pod,Distance (km),Flight Number,Aircraft Type,Departure Gate,Arrival Gate,Airline
0,2023-06-19,01:37,2393.0,1.0,13.0,190.0,LHR,SIN,A,1090.0,279.0,Boeing 737,D,D,American Airlines
1,2023-06-27,04:10,2236.0,9.0,14.0,93.0,ORD,LHR,A,1861.0,605.0,Boeing 737,D,A,British Airways
2,2023-06-08,07:44,2072.0,9.0,13.0,107.0,ORD,LHR,A,3290.0,190.0,Airbus A380,A,A,American Airlines
3,2023-07-05,19:09,4286.0,9.0,23.0,135.0,LHR,BOG,A,1480.0,948.0,Boeing 777,,,
4,2023-06-17,03:17,1748.0,3.0,24.0,176.4,,LHR,B,2321.0,968.0,Airbus A380,A,D,British Airways
5,2023-07-05,14:18,1451.0,9.0,24.0,107.0,JFK,SIN,A,1610.0,559.0,Airbus A380,,D,Qantas
6,2023-07-03,23:34,1949.0,7.0,22.0,155.4,DXB,HND,B,3216.0,842.0,Boeing 737,D,A,British Airways
7,2023-07-03,10:14,4950.0,10.0,11.0,120.0,LHR,CDG,A,4716.0,583.0,Airbus A320,,,Emirates
8,2023-07-05,09:17,1548.0,4.0,22.0,161.0,LHR,LAX,A,4402.0,282.0,Airbus A320,A,,
9,2023-07-01,23:13,1259.0,9.0,25.0,168.0,LHR,LHR,A,2081.0,139.0,Boeing 737,A,D,American Airlines
10,2023-06-07,08:55,1960.0,2.0,23.0,183.0,ORD,BOG,A,1896.0,280.0,Boeing 737,,B,Emirates
11,2023-06-08,15:34,1384.0,3.0,26.0,95.0,ORD,HND,A,4530.0,102.0,Boeing 737,A,,British Airways
12,2023-06-12,07:57,1718.0,5.0,,99.75,,SIN,B,,923.0,Boeing 777,B,C,Emirates
13,2023-07-03,13:18,3517.0,6.0,29.0,149.0,LHR,BOG,A,2078.0,699.0,Boeing 737,,B,
14,2023-07-05,11:33,4524.0,5.0,22.0,110.0,LHR,SIN,A,3899.0,848.0,Airbus A380,B,A,Qantas
15,2023-06-29,23:14,3054.0,8.0,22.0,144.9,,BOG,B,2675.0,224.0,Airbus A380,,D,British Airways
16,2023-06-07,17:16,3054.0,9.0,10.0,159.6,,BOG,B,3492.0,135.0,Boeing 777,D,A,British Airways
17,2023-06-30,09:18,1536.0,5.0,19.0,109.2,,SIN,B,3161.0,668.0,Airbus A380,B,B,
18,2023-06-06,06:39,4620.0,4.0,26.0,92.4,SYD,BOG,B,3969.0,883.0,Airbus A380,D,C,British Airways
19,2023-06-20,08:58,2150.0,4.0,29.0,196.35,AMS,BOG,B,2185.0,441.0,Airbus A320,D,A,American Airlines
20,2023-06-15,22:06,3507.0,9.0,19.0,114.45,SYD,LHR,B,4058.0,101.0,Airbus A320,D,D,Qantas
