,Date,Departure Time,Revenue ($),Passengers (First Class),Passengers (Business Class),Passengers (Economy Class),Origin,Destination,Pod,Distance (km),Flight Number,Aircraft Type,Departure Gate,Arrival Gate,Airline
0,2023-06-19,01:37,2393.0,1.0,13.0,190.0,LHR,SIN,A,1090.0,279.0,Boeing 737,D,D,American Airlines
1,2023-06-27,04:10,2236.0,9.0,14.0,93.0,ORD,LHR,A,1861.0,605.0,Boeing 737,D,A,British Airways
2,2023-06-08,07:44,2072.0,9.0,13.0,107.0,ORD,LHR,A,3290.0,190.0,Airbus A380,A,A,American Airlines
6,2023-07-03,23:34,1949.0,7.0,22.0,155.4,DXB,HND,B,3216.0,842.0,Boeing 737,D,A,British Airways
9,2023-07-01,23:13,1259.0,9.0,25.0,168.0,LHR,LHR,A,2081.0,139.0,Boeing 737,A,D,American Airlines
14,2023-07-05,11:33,4524.0,5.0,22.0,110.0,LHR,SIN,A,3899.0,848.0,Airbus A380,B,A,Qantas
18,2023-06-06,06:39,4620.0,4.0,26.0,92.4,SYD,BOG,B,3969.0,883.0,Airbus A380,D,C,British Airways
19,2023-06-20,08:58,2150.0,4.0,29.0,196.35,AMS,BOG,B,2185.0,441.0,Airbus A320,D,A,American Airlines
20,2023-06-15,22:06,3507.0,9.0,19.0,114.45,SYD,LHR,B,4058.0,101.0,Airbus A320,D,D,Qantas
23,2023-06-14,19:48,3693.0,10.0,16.0,162.75,DXB,HND,B,4349.0,886.0,Airbus A380,B,B,Emirates
24,2023-06-19,12:13,4467.0,5.0,19.0,91.35,DXB,LHR,B,4327.0,451.0,Airbus A380,A,A,Emirates
25,2023-06-29,10:33,3579.0,5.0,25.0,123.9,AMS,BOG,B,4036.0,564.0,Airbus A320,A,B,Emirates
28,2023-06-27,11:51,1694.0,10.0,17.0,139.65,AMS,HND,B,4612.0,446.0,Airbus A320,A,A,Qantas
29,2023-06-28,05:54,4829.0,4.0,10.0,134.4,AMS,LHR,B,1487.0,435.0,Boeing 777,D,A,Qantas
30,2023-06-15,11:43,4620.0,6.0,29.0,131.0,ORD,SIN,A,1732.0,991.0,Airbus A320,C,B,Qantas
34,2023-06-23,20:12,4697.0,1.0,28.0,86.0,ORD,LAX,A,1967.0,877.0,Boeing 737,C,A,Qantas
37,2023-06-18,05:38,3835.0,2.0,13.0,63.0,DXB,LAX,B,3292.0,855.0,Airbus A380,A,B,British Airways
38,2023-06-26,17:45,1631.0,8.0,21.0,119.0,ORD,SIN,A,4108.0,282.0,Airbus A320,D,B,Qantas
39,2023-06-23,18:58,3322.0,2.0,19.0,130.20000000000002,AMS,HND,B,3043.0,180.0,Airbus A380,D,D,Emirates
40,2023-06-26,16:03,2171.0,8.0,28.0,184.0,LHR,HND,A,2691.0,660.0,Airbus A380,C,C,Qantas
